dates,satname,nzd0126-0000,nzd0126-0001,nzd0126-0002,nzd0126-0003,nzd0126-0004,nzd0126-0005,nzd0126-0006,nzd0126-0007,nzd0126-0008,nzd0126-0009,nzd0126-0010,nzd0126-0011,nzd0126-0012,nzd0126-0013,nzd0126-0014,nzd0126-0015,nzd0126-0016,nzd0126-0017,nzd0126-0018,nzd0126-0019,nzd0126-0020,nzd0126-0026,nzd0126-0027,nzd0126-0028,nzd0126-0029,nzd0126-0030,nzd0126-0031,nzd0126-0032,nzd0126-0033,nzd0126-0034,nzd0126-0035,nzd0126-0036,nzd0126-0037,nzd0126-0038,nzd0126-0039,nzd0126-0040,nzd0126-0041,nzd0126-0043,nzd0126-0044,nzd0126-0045,nzd0126-0046,nzd0126-0047,nzd0126-0048,nzd0126-0049,nzd0126-0050,nzd0126-0051,nzd0126-0052,nzd0126-0057,nzd0126-0058,nzd0126-0059,nzd0126-0060,nzd0126-0070,nzd0126-0071,nzd0126-0073,nzd0126-0074,nzd0126-0077,nzd0126-0078,nzd0126-0079,nzd0126-0080,nzd0126-0081,nzd0126-0082,nzd0126-0083,nzd0126-0084,nzd0126-0085,nzd0126-0086,nzd0126-0087,nzd0126-0088,nzd0126-0089,nzd0126-0090,nzd0126-0091,nzd0126-0092,nzd0126-0093,nzd0126-0094,nzd0126-0095,nzd0126-0101,nzd0126-0102,nzd0126-0103,nzd0126-0104,nzd0126-0105,nzd0126-0106,nzd0126-0107,nzd0126-0108,nzd0126-0109,nzd0126-0110,nzd0126-0111,nzd0126-0112,nzd0126-0113,nzd0126-0114,nzd0126-0115,nzd0126-0116,nzd0126-0117,nzd0126-0118,nzd0126-0119,nzd0126-0120,nzd0126-0121,nzd0126-0122,nzd0126-0123,nzd0126-0124,nzd0126-0125,nzd0126-0126,nzd0126-0127,nzd0126-0128,nzd0126-0129,nzd0126-0130,nzd0126-0132,nzd0126-0133,nzd0126-0134,nzd0126-0135,nzd0126-0136,nzd0126-0137,nzd0126-0138,nzd0126-0139,nzd0126-0140,nzd0126-0141,nzd0126-0142,nzd0126-0143,nzd0126-0146,nzd0126-0147,nzd0126-0148,nzd0126-0149,nzd0126-0150,nzd0126-0151,nzd0126-0152,nzd0126-0153,nzd0126-0154,nzd0126-0155,nzd0126-0156,nzd0126-0157,nzd0126-0158,nzd0126-0159,nzd0126-0160,nzd0126-0161,nzd0126-0162,nzd0126-0163,nzd0126-0164,nzd0126-0165,nzd0126-0166,nzd0126-0167,nzd0126-0168,nzd0126-0169,nzd0126-0170,nzd0126-0171,nzd0126-0172,nzd0126-0173,nzd0126-0174,nzd0126-0175,nzd0126-0176,nzd0126-0177,nzd0126-0178,nzd0126-0179,nzd0126-0021,nzd0126-0022,nzd0126-0023,nzd0126-0024,nzd0126-0025,nzd0126-0042,nzd0126-0053,nzd0126-0054,nzd0126-0055,nzd0126-0056,nzd0126-0075,nzd0126-0076,nzd0126-0096,nzd0126-0097,nzd0126-0098,nzd0126-0099,nzd0126-0100,nzd0126-0131,nzd0126-0144,nzd0126-0145,nzd0126-0061,nzd0126-0063,nzd0126-0065,nzd0126-0066,nzd0126-0067,nzd0126-0069,nzd0126-0072,nzd0126-0062,nzd0126-0064,nzd0126-0068
1999-08-26 22:04:44.971000,L7,,,,,833.73,783.55,,828.94,754.92,738.30,,435.84,786.47,620.95,440.48,447.22,389.26,,,,,285.92,282.27,582.92,285.20,618.68,621.14,534.36,429.31,577.24,642.75,446.89,575.13,501.38,463.04,675.32,348.35,,641.11,628.84,496.51,,,625.19,369.83,359.32,378.13,742.94,766.28,874.24,822.93,676.50,695.90,858.86,848.68,,,,748.60,745.33,740.94,734.22,,,,,,,,,892.66,901.84,801.21,784.61,1191.63,1183.13,1165.78,1164.12,1131.95,1131.49,1155.80,1265.38,1287.89,1205.32,1266.98,1243.82,1200.50,1172.70,1148.87,1083.43,825.91,962.38,926.34,,1002.00,878.48,889.27,918.42,919.37,941.47,961.33,1154.30,1123.70,1069.38,1195.14,1013.99,1026.24,1189.53,1189.60,1265.46,1008.80,1197.44,1108.44,1282.64,1288.14,1296.54,1281.52,1165.75,1253.08,1257.27,1245.13,1248.81,1282.23,1266.78,1258.15,1280.37,1270.21,1233.08,1221.15,1077.94,1104.28,1135.67,1194.33,1049.60,1069.52,968.98,1132.50,1131.21,906.73,1004.59,983.92,1096.43,1049.45,989.99,1060.89,870.02,875.19,1014.94,1028.15,972.89,,,,,,,,,,,807.37,858.39,772.08,927.00,1086.78,1092.74,1174.75,1209.10,937.47,1277.01,,996.27,949.11,912.00,,986.81,890.99,,996.75,
1999-09-27 22:04:48.949000,L7,,,752.89,855.85,834.62,717.92,,782.70,752.06,747.62,774.36,732.90,728.02,630.44,685.02,456.83,395.78,352.09,,,,595.54,594.35,569.72,501.51,390.37,532.16,542.66,439.00,577.20,641.42,658.86,454.61,499.11,367.06,677.19,360.54,,642.89,632.79,503.46,463.07,376.45,520.22,369.59,624.44,760.81,782.19,768.10,879.78,834.67,691.48,699.80,629.13,615.86,,,,751.56,744.75,742.73,853.93,830.73,818.56,725.04,845.38,818.84,820.72,845.31,791.92,728.13,674.71,945.10,969.33,1164.85,1139.59,1141.53,1101.85,1098.99,1124.02,1099.65,1097.89,1153.42,1130.14,1137.74,1138.62,1094.26,1129.25,1139.48,764.26,788.26,770.13,773.51,815.02,785.17,783.76,763.51,741.26,972.17,1078.33,1086.79,1088.89,1066.06,849.35,918.41,931.73,940.29,926.32,1006.51,974.58,980.95,970.00,965.68,968.08,985.63,981.22,968.93,1018.04,1032.99,1072.83,1068.27,1086.67,1100.30,983.88,997.37,1010.08,1023.44,1048.99,1064.72,1039.86,1049.78,1035.05,1036.23,1056.06,1048.30,1021.30,1086.26,960.46,889.10,1035.92,1056.06,910.87,977.01,978.09,952.97,1002.82,943.55,1002.24,991.60,973.78,,,,,,,,,,,796.85,859.14,966.76,940.08,922.39,1143.81,1140.47,910.82,978.50,980.70,,988.62,864.67,915.94,,,615.37,,986.40,
2000-01-01 22:04:37.439000,L7,889.99,879.39,840.86,790.28,852.07,840.09,549.50,556.77,629.94,766.04,712.97,443.81,487.92,513.48,573.51,464.29,436.62,652.88,627.96,629.92,662.69,312.00,297.87,417.27,424.86,582.77,622.38,541.45,454.52,579.33,642.14,509.95,528.33,439.27,452.07,419.35,363.86,580.41,644.01,655.29,510.19,504.67,399.26,440.62,362.25,358.80,375.61,770.83,768.15,860.44,839.27,682.92,706.64,628.09,616.43,787.39,802.34,759.55,767.28,778.93,723.33,647.75,825.76,884.22,870.04,841.28,796.56,767.98,687.15,745.61,786.79,753.28,751.66,747.02,1078.40,1111.94,1100.90,1052.17,1061.50,1050.26,1042.83,1042.82,1048.49,1048.25,1051.58,1004.96,1104.64,820.78,819.23,834.88,853.48,853.83,862.31,861.85,870.33,880.40,862.07,863.70,881.10,897.69,911.83,918.84,943.47,958.19,984.55,1129.51,1133.87,1129.06,1101.69,975.23,1278.10,1280.33,1271.30,1276.51,1262.75,1236.81,1123.17,1108.20,1092.69,1093.49,1094.40,1259.75,1176.59,1188.89,1169.68,1034.27,1023.58,1020.44,1030.73,1018.75,1007.03,1031.28,978.13,980.09,982.68,1062.50,1025.42,1095.15,826.14,1067.59,1073.79,793.19,1015.35,774.78,1021.12,1016.12,998.38,827.54,832.61,846.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17 22:04:35.821000,L7,610.05,612.00,599.81,,,777.69,850.12,572.10,767.98,741.83,441.87,695.92,759.85,553.48,741.15,686.87,662.79,645.38,525.44,560.00,584.58,571.73,638.13,618.03,624.25,586.31,629.03,560.51,515.41,566.05,627.75,645.93,482.31,500.85,478.92,566.05,649.54,648.61,661.85,672.27,691.19,631.49,698.39,482.79,659.03,754.74,746.70,942.54,1042.03,965.55,,,,,,787.02,806.37,816.31,780.15,773.70,780.50,769.54,747.01,730.62,737.58,721.74,710.40,688.58,686.30,681.15,667.73,662.98,,,,,,1054.78,1067.71,1040.56,,,,,,1060.52,1047.20,1061.22,1070.27,1071.36,1061.60,853.69,849.62,729.37,780.59,890.08,879.18,866.58,893.48,865.21,891.59,881.29,948.71,,946.96,1018.19,991.72,1021.24,1000.82,976.78,967.13,961.60,948.92,945.72,949.61,,,,,,,,1046.62,1038.12,1048.91,1026.23,1013.26,1013.98,1230.62,,975.69,969.47,946.15,,,,,,,,,,,,,,,,,,455.23,623.90,502.58,621.56,617.78,631.15,623.62,829.07,907.20,931.26,858.79,837.79,,,,,,,,,,,,,,,,,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,433.48,477.91,459.78,442.09,442.35,388.48,,,,,286.40,287.92,293.89,283.14,327.67,358.40,365.99,388.78,282.49,,,,,440.40,384.83,348.23,,,,,,,,,,,,,,,,,,,,,,,724.49,723.90,718.93,706.42,,,,,,895.78,916.24,935.55,971.74,968.48,1064.62,867.47,858.81,1113.35,1080.51,975.03,1074.26,1082.62,1090.20,1078.15,1070.00,1071.09,1045.61,1047.00,1065.90,1075.20,1114.97,1094.65,856.68,862.11,884.18,890.62,908.20,923.45,942.58,935.48,1123.99,884.33,885.69,905.34,973.41,954.25,986.45,985.62,962.41,901.12,1179.49,1177.31,1194.87,1232.46,1087.87,1083.83,1064.45,1120.54,1105.84,1010.09,1178.24,1078.02,1205.46,1267.92,1255.61,1245.16,1110.84,1202.17,1114.84,1214.35,986.56,966.04,959.72,1141.52,1136.49,1150.15,910.64,1015.15,1013.85,940.69,837.31,983.22,1023.74,865.85,1019.81,1039.94,1025.36,845.91,905.12,850.00,832.25,,,,,,,,,,,,,868.52,866.45,864.89,865.36,878.48,997.14,1085.34,1077.18,,,,,,,,,,
2000-05-24 22:03:46.662000,L7,759.10,838.70,828.96,849.12,817.92,706.31,763.53,747.25,708.51,712.22,638.10,768.40,710.82,776.23,693.39,448.17,388.21,,,633.81,660.77,570.63,642.13,535.81,455.74,341.29,401.66,430.43,396.42,286.31,385.56,572.81,312.33,496.81,504.92,394.08,352.74,,,,,,,,,,,,,,,,,896.55,871.06,671.36,800.56,773.11,781.82,781.77,760.31,756.09,751.30,872.53,688.72,673.52,674.18,934.25,944.42,915.38,943.35,908.74,925.80,910.36,1116.20,1147.74,1135.54,1119.85,1125.02,1144.15,1123.75,1152.82,1167.47,1196.64,1080.31,1087.22,1094.33,830.69,828.40,835.07,848.95,838.12,836.69,974.58,961.05,964.09,976.33,956.44,905.98,935.15,932.47,944.80,931.77,975.36,996.46,1039.44,1042.07,1023.33,1041.96,1047.49,992.94,1006.63,994.45,968.41,958.44,962.63,1140.93,1079.76,1160.43,980.73,1043.47,1291.33,1273.16,1195.53,1213.02,1216.46,1113.65,1201.11,1189.31,1142.85,1125.74,1207.89,1194.57,875.09,1144.00,1144.95,1104.43,1070.56,1051.13,1089.26,1088.58,1023.00,1014.49,1007.03,907.39,843.84,877.16,1023.61,1022.29,999.22,691.93,635.88,384.14,332.48,279.07,,,,,,871.56,847.55,902.63,1086.60,1076.20,1032.01,1162.86,988.30,966.70,946.07,,,,,,,,,,
2000-07-11 22:03:17.779000,L7,854.81,810.56,,,821.40,715.92,756.53,764.75,755.88,712.46,690.31,790.93,516.41,444.29,450.70,446.59,383.69,639.01,629.64,639.89,664.33,284.65,320.48,321.35,296.29,380.71,609.87,525.50,418.89,554.42,603.62,666.54,613.89,624.19,484.50,539.95,344.56,,625.72,605.50,478.45,677.29,,,,584.36,627.47,1014.72,742.30,865.27,819.98,661.60,684.75,889.01,866.24,663.16,781.60,765.94,721.96,716.73,719.01,711.28,701.63,876.37,863.62,857.87,859.98,864.37,907.95,919.09,921.26,910.41,915.37,849.66,849.28,1095.43,952.43,1061.23,1109.16,1080.62,1051.05,1042.60,1055.86,1121.52,1067.72,1043.36,1019.52,1054.13,1058.36,1068.73,1057.41,1049.58,970.79,991.27,859.85,880.43,891.42,864.56,880.33,911.12,939.80,938.10,934.22,945.60,1114.73,984.09,1023.47,1020.47,1240.39,1262.91,1241.80,1185.95,1168.73,1228.66,1244.59,1293.76,1318.74,1236.88,1103.12,1064.26,968.14,982.77,1040.74,1100.02,1056.91,960.27,975.99,932.62,945.89,967.55,906.06,970.65,962.56,944.68,993.34,826.91,811.60,812.20,876.11,984.37,1007.41,1046.32,1007.29,983.55,1055.28,862.17,833.56,871.67,875.84,925.70,539.50,,649.78,614.17,,,581.42,,,,859.82,734.23,861.77,890.99,890.82,880.89,877.89,1123.22,1298.57,1241.46,779.30,920.10,987.63,911.88,726.96,972.25,881.05,,,
2000-10-15 22:01:56.204000,L7,843.25,838.86,785.91,826.31,698.75,,733.15,754.48,546.29,556.84,807.08,789.29,574.33,,758.86,728.10,405.83,479.25,,575.92,498.30,527.57,415.59,,,,603.96,514.59,,,524.20,,,,,,549.83,365.77,380.77,584.53,,479.02,,,,,,,,914.32,1021.63,803.00,765.39,664.55,653.70,540.76,530.59,459.56,452.23,468.27,,,,,,,,,956.77,950.46,924.28,922.48,969.56,944.18,1017.35,980.41,1142.82,1130.74,1185.28,1158.02,1152.37,1142.50,1028.84,1064.06,1092.76,1031.89,1029.84,1037.86,1047.07,1028.48,1081.38,841.00,881.22,879.09,842.89,830.00,875.54,841.87,836.57,834.23,832.36,862.72,920.46,883.96,1205.91,1227.46,1137.31,940.30,964.29,938.25,976.90,984.93,1004.80,1202.54,1255.62,1251.10,995.98,1003.18,1001.29,947.01,1033.79,1011.00,946.64,1041.57,979.17,1106.79,1228.48,1261.98,1140.49,1139.66,1123.53,1181.15,1162.67,1113.18,1010.91,945.60,1001.21,996.90,1126.28,1031.92,914.25,986.72,973.43,731.56,738.95,760.17,762.84,752.25,750.45,715.77,673.69,617.77,593.34,644.48,315.18,575.86,620.51,613.26,576.89,664.97,548.93,583.63,986.30,972.27,1140.15,1111.00,1017.98,1096.37,1017.72,1031.21,980.73,1004.18,960.52,909.65,895.02,990.44,,956.13,1001.43,954.64
2001-01-03 22:02:12.432000,L7,803.33,893.57,704.50,809.88,771.51,693.83,779.62,737.14,,589.25,652.31,629.42,,513.18,589.60,450.04,398.46,439.89,,527.94,619.79,302.36,302.91,313.03,478.38,453.78,460.71,567.34,399.06,300.12,,,,513.38,559.05,681.13,640.46,,666.58,642.14,676.42,643.22,721.85,554.39,535.14,558.23,726.71,789.36,690.87,998.40,990.99,885.52,707.32,597.73,,,,,,,,,,,,,647.59,608.99,623.49,635.80,980.49,876.13,1017.30,1042.19,1170.18,1191.94,1179.90,1184.97,1191.57,,1155.85,1229.21,1132.79,1210.40,1136.63,930.26,1078.39,1003.55,1065.29,916.33,790.95,967.09,947.99,971.04,986.00,1037.51,1033.15,1065.52,1079.12,1080.79,909.92,874.51,858.00,1099.22,1107.99,1175.92,1217.65,,,,,,,,,,,,,,,,,,,,,,,,936.05,870.26,944.93,946.66,908.02,876.58,858.91,847.94,837.02,818.56,1012.72,876.54,912.22,785.31,775.53,766.01,875.53,1060.54,944.26,938.47,688.02,449.28,574.46,535.22,599.52,688.89,898.19,707.11,,780.62,,,872.19,1105.15,1085.81,1119.56,1048.45,836.16,,,966.34,,,,721.33,,693.48,708.33,,1008.24
2001-02-04 22:02:14.384000,L7,872.01,861.52,841.92,,,,,763.08,646.35,724.75,627.48,743.23,623.60,597.91,712.09,457.50,400.72,,,557.64,546.87,294.30,296.29,314.39,311.22,341.70,373.00,371.29,408.97,291.36,,601.97,,,463.00,392.47,359.54,,,,,,,,,,,875.49,,,,,,,882.17,782.95,827.91,801.74,758.21,752.26,751.63,720.85,698.89,611.64,557.30,913.87,909.94,885.45,913.25,926.19,931.70,864.02,945.92,926.98,1103.26,1098.52,1112.41,1112.83,1105.29,1128.57,1140.29,1030.68,1010.37,1004.61,1039.44,1027.66,1010.82,1012.98,976.02,1040.19,1016.71,986.14,973.68,999.74,820.23,1010.92,1019.81,1050.81,885.12,1113.28,1077.66,1116.73,1160.16,879.48,1009.42,1135.09,1172.02,1224.06,1244.82,1178.14,1029.94,1004.81,1013.76,1008.67,970.22,995.39,1280.73,1263.77,1259.31,1269.20,1173.01,1144.57,,,,1139.21,1107.49,1106.91,1117.34,1112.71,1119.70,1054.01,1043.37,1057.76,1047.84,1056.01,855.23,842.20,854.68,906.07,904.99,903.67,906.75,907.34,907.70,858.56,1030.37,784.10,791.70,798.79,,,548.88,613.72,,,,,,948.47,673.07,735.40,915.62,901.20,887.16,1128.67,1114.67,993.65,1281.28,1289.77,,,,,,,,,,
